"","GEOID","NAME.x","TotalPopE","TotalPopM","WhitePopE","WhitePopM","Pct_White","Pct_White_moe","sum_under200","pct_under200","U200_moe_sum","U200_moe_prop","PercLEPE","PercLEPM"
"879","48201311700","Census Tract 3117, Harris County, Texas",5860,475,191,93,3.25938566552901,1.56488504346877,3806,65.4401650618982,914.246137536276,0.14811274454048,34.4,6.7
"880","48201311800","Census Tract 3118, Harris County, Texas",4465,576,118,66,2.6427771556551,1.43831012149892,2878,64.7760522169705,938.172159041186,0.194117078141145,20.2,8.3
"881","48201314300","Census Tract 3143, Harris County, Texas",4263,575,240,125,5.62983814215341,2.8321741745395,1853,43.4670419892095,788.289287000654,0.175373614019125,3.2,2.6
"882","48201320700","Census Tract 3207, Harris County, Texas",4439,391,348,139,7.83960351430502,3.05424717625664,1905,42.9150709619284,651.115965093776,0.141726308756633,10.4,4.4
"883","48141000110","Census Tract 1.10, El Paso County, Texas",4023,365,577,228,14.342530449913,5.51599946885433,2236,55.5804126273925,715.662630015009,0.170595836867324,11.9,4.5
"884","48141000301","Census Tract 3.01, El Paso County, Texas",6501,931,746,341,11.4751576680511,4.98127374281332,4898,75.3422550376865,1601.2392076139,0.221416451840214,26.8,8
"885","48141001400","Census Tract 14, El Paso County, Texas",1819,322,247,112,13.5788894997251,5.66864249224425,1067,61.2866168868466,385.059735625526,0.197994228985826,26.3,8.2
"886","48141001502","Census Tract 15.02, El Paso County, Texas",2556,243,908,157,35.5242566510172,5.13059493376589,463,23.6104028556859,269.429025904783,0.135516328753779,7.7,5.1
"887","48141001900","Census Tract 19, El Paso County, Texas",2268,415,14,20,0.617283950617284,0.874570556031511,2051,90.4320987654321,691.901727126042,0.256294994742737,57.8,9.3
"888","48141002100","Census Tract 21, El Paso County, Texas",2164,362,121,69,5.59149722735675,3.04825930591418,1853,85.9860788863109,547.628523727536,0.208246546815902,55.2,8.4
"889","48141002900","Census Tract 29, El Paso County, Texas",1449,328,1,4,0.0690131124913734,0.275610064682391,1283,88.543823326432,505.693583111354,0.28570099200242,55.1,13.5
"890","48141003404","Census Tract 34.04, El Paso County, Texas",6110,601,1252,304,20.4909983633388,4.54891297486141,2075,33.9607201309329,883.370250800875,0.140665731278293,8.1,4.6
"891","48141003801","Census Tract 38.01, El Paso County, Texas",5011,459,54,44,1.0776292157254,0.872502346634769,2829,56.4557972460587,788.913176464939,0.148700982686916,39.9,8.3
"892","48141004106","Census Tract 41.06, El Paso County, Texas",5074,450,126,87,2.48324793062672,1.70042096990273,2808,55.3409538825384,785.546306719088,0.146832241279458,39.1,7.4
"893","48141004313","Census Tract 43.13, El Paso County, Texas",3234,404,509,199,15.73902288188,5.83079565662011,1281,39.6103896103896,563.474932894091,0.167060518082433,18.1,7.2
"894","48201210800","Census Tract 2108, Harris County, Texas",2709,328,100,69,3.69139904023625,2.50754469381595,1421,52.4547803617571,523.925567232598,0.182676227996413,17.8,7.5
"895","48201220900","Census Tract 2209, Harris County, Texas",1796,235,93,94,5.17817371937639,5.18981214163536,1218,67.930842163971,459.978260355856,0.240455282440165,31.4,9.7
"896","48201221200","Census Tract 2212, Harris County, Texas",6732,691,314,126,4.6642899584076,1.80938937154703,4298,63.8443256090315,1355.27414200965,0.190353670842229,53.6,8.8
"897","48201222000","Census Tract 2220, Harris County, Texas",2376,331,166,81,6.98653198653199,3.26720113660817,1267,53.3249158249158,526.478869471511,0.208758374434361,38.8,12.8
"898","48201222100","Census Tract 2221, Harris County, Texas",5617,502,376,185,6.69396474986648,3.23878381040024,4085,72.9985704074339,1027.91585258717,0.171618416644008,56,8.7
