"","GEOID","variable","TOTAL","MoError","percent_total","moe_perc_total"
"1","48029","B03002_001",8200739,NA,1,NA
"2","48029","B03002_002",3279425,NA,0.399893838835744,NA
"3","48029","B03002_003",2568180,1520.48281805484,0.313164459934647,0.000185408024576181
"4","48029","B03002_004",363186,2492.18538636274,0.0442869843803101,0.000303897659267383
"5","48029","B03002_005",13906,849.09775644504,0.00169570083866832,0.000103539175730997
"6","48029","B03002_006",209898,2015.0384611714,0.0255950104008919,0.000245714253455865
"7","48029","B03002_007",4541,551.316605953421,0.000553730584524151,6.72276737442103e-05
"8","48029","B03002_008",9612,1102.1311174266,0.00117208949095929,0.000134394121972007
"9","48029","B03002_009",110102,3203.45438550325,0.0134258632057428,0.000390629964629194
"10","48029","B03002_010",4958,969.173359105583,0.000604579660442797,0.000118181222339302
"11","48029","B03002_011",105144,2996.25165832244,0.0128212835453,0.000365363616415843
"12","48029","B03002_012",4921314,NA,0.600106161164256,NA
"13","48029","B03002_013",4233833,11807.7546976553,0.516274569889372,0.00143984032386048
"14","48029","B03002_014",27242,2044.53344311117,0.00332189574622482,0.000249310878338058
"15","48029","B03002_015",25469,2371.83705173859,0.00310569571839806,0.000289222355660702
"16","48029","B03002_016",5391,802.771449417579,0.000657379780041774,9.78901351960572e-05
"17","48029","B03002_017",1296,377.022545744946,0.000158034538106871,4.59742159511412e-05
"18","48029","B03002_018",530448,10659.6805768278,0.064682951134038,0.00129984390148593
"19","48029","B03002_019",97635,4152.44048723158,0.0119056343580743,0.000506349548160425
"20","48029","B03002_020",47868,2952.4015648282,0.00583703493063247,0.000360016525928724
"21","48029","B03002_021",49767,2905.82707675457,0.00606859942744184,0.000354337222139928
